OID__x,sensor_index,last_modified,date_created,last_seen,name,location_type,firmware_version,uptime,position_rating,latitude,longitude,altitude,channel_state,channel_flags,OID__y,timestamp,humidity,temperature,pressure,pm2_5
54,157785,1675358905,1659480173,1680036235,City of Minneapolis Community Air Monitoring Project 59,0,7.02,58,5,44.958622,-93.28957,880,3,0,8784,2023-04-01,61.304,36.822,977.621,3.9825
55,157837,1675358914,1659482691,1680036218,City of Minneapolis community Air Monitoring Project 22,0,7.02,28069,5,44.988102,-93.31042,867,3,0,8885,2023-04-01,59.312,38.195,975.195,2.873
56,157845,1675358933,1659483175,1680036218,City of Minneapolis Community Air Monitoring Project 63,0,7.02,23860,5,44.928047,-93.26914,848,3,0,8958,2023-04-01,51.915,43.287,978.39,6.7935
57,157861,1675358929,1659487769,1680036166,City of Minneapolis Community Air Monitoring Project 61,0,7.02,66077,5,44.93031,-93.25844,861,3,0,9034,2023-04-01,53.313,42.733,977.268,3.2255
58,157871,1675358938,1659487891,1680036200,City of Minneapolis Community Air Monitoring Project 58,0,7.02,14853,5,44.934963,-93.27042,865,3,0,9103,2023-04-01,59.706,38.872,978.519,3.7315
59,157877,1675358909,1659487898,1680036206,City of Minneapolis Community Air Monitoring Project 9,0,7.02,69560,5,44.900864,-93.20838,849,3,0,9189,2023-04-01,59.315,39.881,977.925,3.625
60,157935,1675358942,1659489725,1680036177,City of Minneapolis Community Air Monitoring Project 62,0,7.02,17647,5,44.92983,-93.32441,900,3,0,9288,2023-04-01,53.481,41.489,975.231,2.6275
61,162145,1663356782,1663082166,1680036253,The Avenues,0,7.03,2438,5,44.928246,-93.41132,926,3,0,9372,2023-04-01,45.6385,44.386,975.4235,3.6555
63,168327,1675359151,1666640888,1680036227,City of Minneapolis Community Air Monitoring Project 23,0,7.02,17766,5,44.95249,-93.26352,872,3,0,9810,2023-04-01,55.178,42.417,976.956,3.3905
64,171919,1673979324,1669661076,1680036240,Sr Mas Alto,0,7.03,17564,5,44.900303,-93.387634,891,3,0,9863,2023-04-01,37.112,49.306,975.174,2.8205
65,43305,1663181456,1575665495,1680036268,NCC-1701,0,7.02,67941,5,44.899097,-93.30169,904,3,0,9951,2023-04-01,54.822,41.197,975.74,6.394
66,174451,1677184584,1675282476,1680036236,E 27th St &amp; Cedar,0,7.03,201,5,44.953358,-93.247055,858,3,0,10166,2023-04-01,44.293,48.044,976.583,5.096
67,174855,1678022292,1676576849,1680036274,Brooklyn Center,0,7.03,17302,5,45.05947,-93.294075,849,3,0,10184,2023-04-01,37.136,49.206,976.679,2.704
68,54907,1599164459,1588883263,1680036183,MplsLoganAQI,0,7.02,53392,5,45.003338,-93.25568,853,3,0,10233,2023-04-01,48.8,44.294,976.913,3.236
69,75827,1601589805,1601577873,1680036189,Ridgewood Park,0,7.02,10308,5,44.932705,-93.14049,869,3,0,10482,2023-04-01,43.722,-228.0,467.09,2.9865
70,77405,1602431010,1601928760,1680036244,Hamline Midway,0,7.02,19208,5,44.966743,-93.17984000000001,938,3,0,10808,2023-04-01,48.201,43.61,973.699,3.481
71,85113,1607282888,1603474882,1680036243,Mac-Groveland,0,7.02,1503,5,44.93642,-93.17899000000001,917,3,0,11025,2023-04-01,57.65,37.948,973.977,3.4475
73,98259,1679430668,1612199721,1680036271,MPCA_HighlandPark,0,7.02,10088,5,44.89968,-93.17879,844,3,1,11054,2023-04-01,59.106,40.771,977.3,1.3225
74,104760,1671131967,1619045120,1680036194,Science Museum of Minnesota,0,7.02,63488,5,44.942642,-93.10010500000001,727,3,0,11174,2023-04-01,46.736,44.663,981.602,2.6725
75,108274,1628093171,1623189771,1680036234,Northwood West Air Quality,0,7.02,13843,5,45.03069,-93.39377,906,3,0,11320,2023-04-01,45.449,46.765,976.372,0.1355
76,108364,1628189300,1623277583,1680036255,Edina MN,0,7.02,5227,5,44.878834,-93.35441,851,3,0,11587,2023-04-01,54.311,40.586,976.636,3.082
77,108366,1628110951,1623277596,1680036203,Dakota Trail,0,7.02,43220,5,44.87984,-93.38967,889,3,0,11726,2023-04-01,50.193,42.004,975.362,3.182
78,113486,1628274672,1625862371,1680036197,Bancroft,0,7.02,64880,5,44.928123,-93.25389,821,3,0,11991,2023-04-01,56.606,38.762,979.309,0.466
79,116413,1667066761,1627341088,1680036219,Seward,0,7.02,11813,5,44.961216,-93.2424,839,3,0,12194,2023-04-01,60.785,37.917,977.635,0.644
80,126487,1656379563,1631137483,1680036283,Northwoods Berry Clan,0,7.02,35446,5,45.040394,-93.21327,939,3,0,12227,2023-04-01,52.958,42.278,973.518,1.048
81,128195,1644522903,1631832018,1680036281,Groveland Park,0,7.02,3258,5,44.93578,-93.18634,926,3,0,12374,2023-04-01,58.509,38.845,974.7,0.651
