timestamp,sensor_index,humidity,temperature,pressure,pm2_5,humidity_error,temperature_error,pressure_error
2022-09-29,3088,35.421,64.461,998.415,0.4465,,,
2022-11-07,3088,37.649,42.809,999.38,1.1315,,,
2023-01-11,3088,52.694,42.79,980.71,40.847500000000004,,,
2022-11-25,3088,48.656,45.34,991.626,6.5175,,,
2023-01-23,3088,52.539,30.499,985.579,10.423,,,
2022-09-02,3088,46.108,88.351,981.196,3.4699999999999998,,,
2023-03-02,3088,47.614,35.901,986.225,1.665,,,
2022-12-12,3088,50.753,41.939,993.718,8.3635,,,
2023-02-23,3088,50.98,25.778,984.885,0.19699999999999998,,,
2023-02-26,3088,36.869,33.155,984.532,7.048,,,
2022-10-10,3088,39.075,66.08,989.318,3.7915,,,
2022-12-28,3088,49.699,39.428,968.407,4.845000000000001,,,
2023-01-21,3088,55.458,32.415,990.489,3.9770000000000003,,,
2022-11-14,3088,47.281,38.103,994.459,3.517,,,
2023-03-15,3088,45.454,44.408,985.077,7.506,,,
2022-11-02,3088,36.208,70.398,985.18,3.3899999999999997,,,
2022-11-01,3088,34.911,61.267,983.612,14.0525,,,
2022-10-25,3088,47.49,53.027,977.738,0.5625,,,
2022-10-30,3088,39.304,63.026,986.672,8.202,,,
2022-12-11,3088,52.974,45.321,992.805,12.078,,,
2022-10-27,3088,42.768,56.854,991.944,5.554,,,
2022-10-16,3088,42.14,53.478,986.496,0.754,,,
2023-02-24,3088,38.239,19.432,1005.852,2.3689999999999998,,,
2022-12-14,3088,62.533,43.45,976.015,2.904,,,
2022-09-21,3088,42.835,74.726,985.199,3.566,,,
2023-02-25,3088,40.459,26.584,993.56,5.5435,,,
2022-11-28,3088,48.405,41.797,977.768,6.114,,,
2022-10-22,3088,38.764,64.947,971.915,20.619,,,
2022-09-25,3088,48.961,68.603,981.826,1.3765,,,
2022-12-07,3088,44.054,30.62,994.758,4.171,,,
2023-03-25,3088,33.608,47.673,978.403,4.9825,,,
2022-10-21,3088,36.354,62.917,971.775,13.55,,,
2023-01-06,3088,48.568,29.904,990.655,8.7465,,,
2023-03-12,3088,53.498,41.38,981.208,3.8245,,,
2023-03-13,3088,45.241,35.907,993.042,0.45,,,
2022-10-05,3088,43.611,75.858,986.815,5.299,,,
2022-12-25,3088,38.381,11.583,991.182,0.47450000000000003,,,
2023-03-31,3088,61.289,43.874,972.402,6.702999999999999,,,
2022-09-08,3088,48.382,85.646,982.408,9.255,,,
2022-11-12,3088,44.145,37.151,991.138,0.0455,,,
2022-09-15,3088,44.799,81.789,986.398,5.2015,,,
2022-11-15,3088,54.967,42.483,993.684,9.901,,,
2023-02-13,3088,46.219,43.631,979.391,4.8759999999999994,,,
2022-12-04,3088,41.432,28.262,989.249,2.7140000000000004,,,
2022-11-04,3088,53.648,54.731,980.633,5.5,,,
2023-01-02,3088,52.859,36.032,989.137,13.39,,,
2022-12-01,3088,42.192,28.76,992.828,0.95,,,
2022-11-09,3088,62.928,61.278,986.681,8.6345,,,
2022-11-22,3088,44.868,39.315,991.518,12.531,,,
2023-01-05,3088,56.554,37.677,982.528,1.7005,,,
2022-10-01,3088,41.284,72.318,993.177,2.5524999999999998,,,
2022-11-17,3088,51.975,34.513,988.521,11.2905,,,
2022-10-09,3088,34.551,64.638,988.073,3.5075,,,
2022-10-13,3088,41.925,51.508,975.673,5.0305,,,
2023-02-11,3088,42.193,40.478,991.007,1.0075,,,
2023-01-07,3088,41.581,24.021,998.696,24.892,,,
2023-01-10,3088,52.578,39.365,980.636,36.8945,,,
2022-09-07,3088,51.615,85.5,991.25,9.2915,,,
2023-02-02,3088,38.389,22.594,992.177,8.0305,,,
2022-10-20,3088,30.927,53.354,978.794,4.77,,,
2022-09-11,3088,44.492,71.013,991.606,12.466000000000001,,,
2022-10-18,3088,35.157,41.286,996.572,0.06,,,
2023-03-11,3088,51.018,40.374,987.547,1.087,,,
2022-10-29,3088,39.927,62.54,993.031,5.3575,,,
2022-12-15,3088,59.447,44.855,965.902,2.3215,,,
2022-09-14,3088,47.975,75.687,987.495,8.146,,,
2022-10-08,3088,38.383,54.96,996.125,2.487,,,
2022-12-24,3088,44.097,6.799,990.883,0.05450000000000001,,,
2023-02-05,3088,44.693,35.5,983.103,12.597999999999999,,,
2022-12-21,3088,38.683,9.782,1000.946,2.1385,,,
2022-12-16,3088,55.728,41.66,964.968,3.3325,,,
2023-01-26,3088,43.967,25.134,986.324,0.44949999999999996,,,
2023-01-09,3088,46.675,31.158,985.429,25.3605,,,
2022-09-27,3088,35.625,61.925,992.069,0.38899999999999996,,,
2022-09-06,3088,48.7,79.822,989.484,4.0865,,,
2023-03-29,3088,38.001,31.234,996.325,4.244,,,
2023-01-13,3088,49.999,31.55,999.056,3.859,,,
2022-09-22,3088,45.843,65.794,994.204,0.2815,,,
2023-02-21,3088,44.093,23.293,978.319,1.8085,,,
2023-03-30,3088,37.633,36.349,990.988,5.0535,,,
2022-10-19,3088,32.199,46.241,990.588,0.79,,,
2022-12-19,3088,42.475,20.403,997.619,3.051,,,
2023-01-03,3088,57.46,34.77,980.246,13.107999999999999,,,
2022-09-09,3088,53.656,77.645,979.683,5.491,,,
2022-12-31,3088,52.84,36.586,980.789,7.1385000000000005,,,
2023-01-19,3088,56.504,40.904,977.945,0.7675,,,
2023-02-12,3088,45.142,43.447,984.368,6.814,,,
2023-02-10,3088,35.152,31.561,996.647,0.49349999999999994,,,
2022-11-08,3088,44.476,49.011,1001.817,1.7345000000000002,,,
2023-03-23,3088,41.673,41.035,988.664,3.2915,,,
2022-11-10,3088,62.755,67.122,977.428,7.2415,,,
2023-02-17,3088,38.144,22.964,995.503,0.56,,,
2023-03-01,3088,52.806,44.6,977.058,3.9945,,,
2023-03-21,3088,41.454,42.326,987.113,2.38,,,
2022-11-16,3088,55.091,42.8,992.586,12.7225,,,
2023-02-23,5582,46.22,26.08,982.639,0.5175000000000001,,,
2023-02-20,5582,43.107,35.133,975.088,8.0735,,,
2022-12-22,5582,36.195,5.514,988.488,3.278,,,
2023-02-24,5582,34.524,17.476,1003.525,4.9215,,,
2022-12-20,5582,37.956,16.256,1000.068,5.1175,,,
2022-09-26,5582,33.915,63.847,984.252,0.8069999999999999,,,
2022-11-04,5582,49.296,54.914,978.24,9.9995,,,
2023-01-25,5582,48.648,37.861,980.876,23.344,,,
2023-02-02,5582,34.473,22.221,990.016,14.7365,,,
2022-09-06,5582,47.043,79.65,987.189,7.0555,,,
2022-11-24,5582,50.313,47.412,984.884,26.7605,,,
2022-11-14,5582,42.541,38.692,991.921,6.912,,,
2022-10-20,5582,25.682,54.747,976.444,6.9435,,,
2022-10-05,5582,43.222,75.216,984.614,8.2445,,,
2022-09-10,5582,51.5,72.52,987.008,9.256,,,
2022-10-09,5582,32.837,63.562,985.719,4.3555,,,
2023-02-19,5582,46.083,40.833,976.543,15.104,,,
2023-03-21,5582,37.508,43.097,984.427,4.9635,,,
2023-02-11,5582,38.695,40.321,988.825,2.2265,,,
2022-10-14,5582,42.912,48.395,970.675,2.193,,,
2023-03-30,5582,34.832,36.246,988.402,10.2605,,,
2023-03-03,5582,44.483,42.209,975.484,14.5885,,,
2023-01-01,5582,48.072,42.335,978.361,15.4775,,,
2022-11-05,5582,48.314,47.755,972.305,8.1615,,,
2022-11-28,5582,43.716,41.9,975.282,9.119,,,
2023-01-20,5582,46.653,37.337,986.363,2.6719999999999997,,,
2023-03-22,5582,48.252,44.931,979.249,12.544,,,
2022-09-08,5582,45.824,85.118,980.353,13.8615,,,
2023-01-26,5582,39.479,24.507,984.532,1.226,,,
2022-10-18,5582,32.333,41.311,994.468,0.224,,,
2023-01-15,5582,47.097,42.569,976.84,10.394,,,
2023-01-29,5582,30.781,14.612,997.461,1.9224999999999999,,,
2022-10-08,5582,35.506,54.721,994.0,2.9829999999999997,,,
2023-03-16,5582,51.714,46.931,971.73,12.4,,,
2023-02-05,5582,41.763,36.876,980.967,20.284,,,
